Name,brand_name
Sパチスロ1000ちゃん G1,1000ちゃん
Sパチスロ1000ちゃん PX,1000ちゃん
P13日の金曜日 GLA,13日の金曜日
P13日の金曜日 MA,13日の金曜日
P13日の金曜日 ZB,13日の金曜日
S2027 LB,2027
パチスロAKB48バラの儀式 C,AKB48
PぱちんこAKB48-3 A10,AKB48
PぱちんこAKB48ワンツースリーフェスティバル L1,AKB48
パチスロAKB48勝利の女神 G,AKB48
パチスロAKB48エンジェル MA,AKB48
PAぱちんこAKB48桜LIGHTver．満開モード搭載MA5,AKB48
パチスロAKB48 P,AKB48
S ANEMONE FF,ANEMONE
S Angel Beats! XF,Angel Beats!
BAD BOYS 0A,BAD BOYS
S BANG BANG CROSS SA1,BANG BANG CROSS
BASTARD!! DG,BASTARD!!
GETだ!BILLY,BILLY
パチスロBLOOD+,BLOOD+
パチスロBLOOD+二人の女王 /XA,BLOOD+
SパチスロBOOWY SV,BOOWY
S /CCエンジェル /CA,CCエンジェル
e CYBORG 009 S7-K,CYBORG 009
P009RE:CYBORG N3-K,CYBORG 009
P CYBORG 009 S3-K,CYBORG 009
P009RE:CYBORG M4-K,CYBORG 009
P CYBORG 009 M2-V,CYBORG 009
Lパチスロ009 RE:CYBORG -NZ,CYBORG 009
P CYBORG009 VS3-K 【LT】,CYBORG009
PA CYBORG009 N-X1,CYBORG009
P CYBORG009 VS3-K,CYBORG009
P D-CLOCK1,D-CLOCK
LパチスロD4DJ KB,D4DJ
L DISCUPウルトラリミックス XR,DISCUP
EVANGELION･A,EVANGELION
L EVANGELION・未来への創造  jF,EVANGELION
P EXZEUS M-4S,EXZEUS
P FAIRY TAILこれが七炎竜の力だ FSA,FAIRY TAIL
S FAIRY TAIL XX FA,FAIRY TAIL
P FAIRY TAILこれが七炎竜の力だ FSA 【LT】,FAIRY TAIL
FAIRY TAIL FSA,FAIRY TAIL
PA FAIRY TAIL FW設定付【設定④】,FAIRY TAIL
PA FAIRY TAIL FW設定付,FAIRY TAIL
PA FAIRY TAIL FW設定付【設定③】,FAIRY TAIL
PA FAIRY TAIL FW設定付【設定②】,FAIRY TAIL
PA FAIRY TAIL FW設定付【設定⑤】,FAIRY TAIL
PA FAIRY TAIL FW設定付【設定⑥】,FAIRY TAIL
PA FAIRY TAIL2 JWA,FAIRY TAIL
P FAIRY TAIL2 JQD,FAIRY TAIL
P FAIRY TAIL2 JHD,FAIRY TAIL
ゼンFF,FF
G-SPIN,G-SPIN
P G1DREAM ROAD-MH,G1DREAM ROAD
PA G1DREAM駿 NU,G1DREAM駿
S G1フェアリーグランプリ KP,G1フェアリーグランプリ
PぱちんこGANTZ2 RM6,GANTZ
パチスロ超GANTZ /SA,GANTZ
PぱちんこGANTZ2 AT2,GANTZ
PぱちんこGANTZ覚醒Sweet2000 M2,GANTZ
PぱちんこGANTZ極 M3,GANTZ
PぱちんこGANTZ覚醒 MJ4,GANTZ
SパチスロGANTZ FT,GANTZ
PぱちんこGANTZ3 M3,GANTZ
P STEINS;GATE0 L2-K 【LT】,GATE
S/ STEINS;GATE /TG,GATE
P STEINS;GATE0 L2-K,GATE
GATE /ND,GATE
P GO!GO!マリン3000 HCD,GO!GO!マリン
P GO!GO!マリン3 JTD,GO!GO!マリン
P GO!GO!郷～革命の5～ M4-VLT,GO!GO!郷
P GO!GO!郷 M3-X,GO!GO!郷
PA GO!GO!郷 N-X,GO!GO!郷
P GO!GO!郷～豪遊の5～ N-VYLT 【LT】,GO!GO!郷
P GO!GO!郷～豪遊の5～ N-VYLT,GO!GO!郷
P GO!GO!郷～革命の5～ M4-VLT 【LT】,GO!GO!郷
P GOGOピラミッド危機一発4500,GOGOピラミッド危機一発
GTO～Limited Break～R,GTO
S GUNDAM X-OVER A,GUNDAM
GirlsGunsGroovy-V,GirlsGunsGroovy
P Gunslinger Stratos THE ANIMATION L01,Gunslinger Stratos THE ANIMATION
P Gunslinger Stratos THE ANIMATION A02【設定④】,Gunslinger Stratos THE ANIMATION
P Gunslinger Stratos THE ANIMATION A02【設定②】,Gunslinger Stratos THE ANIMATION
P Gunslinger Stratos THE ANIMATION A02【設定③】,Gunslinger Stratos THE ANIMATION
P Gunslinger Stratos THE ANIMATION A02,Gunslinger Stratos THE ANIMATION
P Gunslinger Stratos THE ANIMATION A02【設定⑥】,Gunslinger Stratos THE ANIMATION
P Gunslinger Stratos THE ANIMATION A02【設定⑤】,Gunslinger Stratos THE ANIMATION
P GⅠ優駿倶楽部 MU,GⅠ優駿倶楽部
P GⅠ優駿倶楽部2 MR,GⅠ優駿倶楽部
GⅠ優駿倶楽部 /KD,GⅠ優駿倶楽部
S GⅠ優駿倶楽部2 KB,GⅠ優駿倶楽部
S GⅠ優駿倶楽部3 PK,GⅠ優駿倶楽部
P GⅠ優駿倶楽部 AU,GⅠ優駿倶楽部
P GⅠ優駿倶楽部2 HT 【LT】,GⅠ優駿倶楽部
L GⅠ優駿倶楽部黄金 KD,GⅠ優駿倶楽部
P GⅠ優駿倶楽部2 HT,GⅠ優駿倶楽部
H.O.T.D＿BB,H.O.T.D
P J-RUSH RSJ-S,J-RUSH
P J-RUSH HSJ-S,J-RUSH
